trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,8,-33.40139781934478,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.43568244627671204}",25,2,10.227747807862743,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.42665980793015723}",30,22,-32.21934677034001,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,1,19.33694356167225,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,6,10.682867816543803,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,14,-3.5780187117674465,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,6,-39.49702778086723,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,3,0.29085829779897066,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.371659872260533}",35,23,24.118158813763454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,12,-2.5265834231154907,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,8,-31.63641986698962,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,16,4.431335857538665,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,1,-26.742969989608532,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.32479628443877623}",30,11,-36.28109732552032,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.3153223623952687}",30,10,11.953020861561976,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3058169083782893}",30,12,9.823907042712488,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2962808729253187}",25,11,21.525875193051327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.28671520963195546}",20,0,-38.21899701484693,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,8,29.61513481133354,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.26749882862458735}",25,3,21.64643493612252,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
